text,language
"Notre-Dame de Paris est un chef-d'œuvre de l'art gothique.",French
"A Torre de Belém é um símbolo da época dos descobrimentos.",Portuguese
"Danau Toba adalah danau vulkanik terbesar di dunia.",Indonesian
"پاکستان کے شمالی علاقے دنیا کی بلند ترین چوٹیوں کا گھر ہیں۔",Urdu
"Alea iacta est - verba Caesaris memorabilia.",Latin
"Göreme Vadisi'ndeki kaya kiliseler tarihe tanıklık eder.",Turkish
"相撲は日本の国技として世界に知られています。",Japanese
"De Deltawerken beschermen Nederland tegen het water.",Dutch
"பிரகதீஸ்வரர் கோயில் தஞ்சாவூரின் பெருமையை உலகறியச் செய்கிறது.",Tamil
"ประเพณีสงกรานต์แสดงถึงวัฒนธรรมที่เป็นเอกลักษณ์ของไทย",Thai
"برج خليفة في دبي هو أطول مبنى في العالم.",Arabic
"The Northern Lights dance across the Arctic sky.",English
"Tartu Ülikool on Eesti vanim ülikool.",Estonian
"Midsommar är en av Sveriges viktigaste traditioner.",Swedish
"Эрмитаж хранит бесценные произведения искусства.",Russian
"Mănăstirile Bucovinei sunt unicate în lume.",Romanian
"دماوند بلندترین قله ایران و نماد استواری است.",Persian
"د افغانستان کوچیان د دې هېواد د کلتور یوه مهمه برخه ده.",Pushto
"El tango argentino expresa pasión y melancolía.",Spanish
"गंगा नदी भारतीय संस्कृति की जीवनधारा है।",Hindi
"김치는 한국의 전통 발효 음식입니다.",Korean
"熊猫是中国的国宝级保护动物。",Chinese
"La lavande de Provence embaume l'air d'été.",French
"O bacalhau é essencial na gastronomia portuguesa.",Portuguese
"Tari Saman mencerminkan budaya Aceh yang dinamis.",Indonesian
"اردو زبان کی شاعری میں غزل کا مقام منفرد ہے۔",Urdu
"Veni, vidi, vici - summa gloriae romanae.",Latin
"Pamukkale'nin beyaz travertenleri doğal bir harikadır.",Turkish
"着物は日本の伝統衣装として世界的に有名です。",Japanese
"Het Nederlandse poldermodel is wereldberoemd.",Dutch
"கங்கை கொண்ட சோழபுரம் சோழர்களின் கட்டிடக்கலை நுட்பத்தை காட்டுகிறது.",Tamil
"ช้างเป็นสัตว์คู่บ้านคู่เมืองของประเทศไทย",Thai
"القهوة العربية رمز الضيافة في المجتمعات العربية.",Arabic
"The redwood forests reach toward the California sky.",English
"Laulupidu ühendab eestlasi läbi muusika võlu.",Estonian
"Vikingarnas historia präglar den nordiska kulturen.",Swedish
"Москва-река отражает огни большого города.",Russian
"Transilvania păstrează legende medievale fascinante.",Romanian
"پاسارگاد آرامگاه کوروش کبیر را در خود جای داده است.",Persian
"د هرات جامع جومات د اسلامي معمارۍ یو شاهکار دی.",Pushto
"Las cuevas de Altamira guardan arte prehistórico.",Spanish
"राजस्थान का रेगिस्तान सोने का रंग बिखेरता है।",Hindi
"설악산의 절경은 사계절 내내 관광객을 매료시킵니다.",Korean
"兵马俑展示了秦朝的军事实力。",Chinese
"Les Alpes françaises attirent les skieurs du monde.",French
"A música brasileira tem ritmos contagiantes.",Portuguese
"Borobudur terbangun megah di tengah pulau Jawa.",Indonesian
"کراچی پاکستان کا سب سے بڑا تجارتی مرکز ہے۔",Urdu
"Cogito, ergo sum - fundamentum philosophiae.",Latin
"Ayasofya İstanbul'un tarihî siluetinin tacıdır.",Turkish
"新幹線は日本の技術力を象徴する高速鉄道です。",Japanese
"Keukenhof toont Nederland in bloeiende kleuren.",Dutch
"மயிலாப்பூர் கபாலீசுவரர் கோயில் சிவபெருமானுக்கு அர்ப்பணிக்கப்பட்டது.",Tamil
"วัดพระธาตุดอยสุเทพเป็นสถานที่ศักดิ์สิทธิ์ของเชียงใหม่",Thai
"وادي رم في الأردن يجذب محبي المغامرات والطبيعة.",Arabic
"The Pacific Ocean holds countless untold mysteries.",English
"Lahemaa rahvuspark on Eesti suurim rahvuspark.",Estonian
"Dalarnas kurbitsmålning är unik svensk folkkonst.",Swedish
"Золотое кольцо России хранит древние традиции.",Russian
"Marea Neagră ascunde comori arheologice unice.",Romanian
"خلیج فارس مروارید خاورمیانه است.",Persian
"د بدخشان لاجورد د نړۍ تر ټولو ښه کیفیت لری.",Pushto
"El Camino de Santiago une culturas y personas.",Spanish
"आगरा का किला मुगल वास्तुकला का अद्भुत नमूना है।",Hindi
"판소리는 한국의 전통 음악 예술입니다.",Korean
"长江流经中国最富饶的地区。",Chinese
"Le Mont Saint-Michel semble flotter sur l'eau.",French
"Os Açores são um paraíso natural no Atlântico.",Portuguese
"Wayang kulit adalah seni tradisional Jawa.",Indonesian
"سندھ دریا پاکستان کی معاشی شہہ رگ ہے۔",Urdu
"Per aspera ad astra - via ad successum.",Latin
"Efes antik kenti İzmir'in tarihî hazinesidir.",Turkish
"浮世絵は江戸時代の日本文化を今に伝えます。",Japanese
"De Waddeneilanden zijn uniek in Europa.",Dutch
"காஞ்சிபுரம் பட்டு உலகப் புகழ்பெற்றது.",Tamil
"เกาะภูเก็ตมีชายหาดที่สวยงามติดอันดับโลก",Thai
"النخيل رمز الضيافة في الثقافة العربية.",Arabic
