text,language
"El viento susurraba secretos antiguos entre las hojas de los árboles centenarios contando historias que nadie había escuchado antes",Spanish
"हर शाम जब सूरज डूबता है तो शहर की छतों पर एक अजीब सी खामोशी छा जाती है जैसे समय थम गया हो",Hindi
"깊은 숲속에서 고요히 흐르는 작은 개울물은 수백 년의 침묵을 간직한 채 자연의 비밀을 속삭이고 있었다",Korean
"在遥远的山谷里一座古老的寺庙静静地矗立它的墙壁似乎能诉说无数未被记录的故事",Chinese
"Au crépuscule les rues pavées de la vieille ville murmuraient des légendes oubliées portées par le vent qui caressait les façades usées",French
"No horizonte distante onde o mar encontra o céu existem histórias que nenhum marinheiro jamais conseguiu contar completamente",Portuguese
"Di antara gelapnya malam sebuah lentera tua menyinari jalan setapak yang hampir terlupakan membawa kenangan dari masa lalu",Indonesian
"شہر کی خاموش گلیوں میں ایک پرانا مکان اپنی کہانی کو خاموشی سے بیان کرتا ہے جیسے وقت نے اسے فراموش کر دیا ہو",Urdu
"Per umbras silvarum antiquarum via occulta serpebat quae ad templum mysteriosum et obrutum ducebat",Latin
"Rüzgâr unutulmuş bir şarkının melodisini fısıldayarak eski kent sokaklarında dolaşıyordu",Turkish
"静かな夜古い町の灯りは過去の物語を静かにささやき時間の流れを超えた記憶を紡いでいた",Japanese
"Langs de oude dijken waar de wind verhalen fluistert van vergeten zeelieden en verborgen schatten strekt het landschap zich eindeloos uit",Dutch
"மலைச் சரிவுகளில் ஒரு தனிமைச் சிற்றூரில் காலம் நின்று போன நிலையில் ஒவ்வொரு கல்லும் ஒரு கதையைக் கூறுகிறது",Tamil
"ในยามค่ำคืนอันเงียบสงบ แสงจันทร์ส่องสว่างลงบนหมู่บ้านเก่าแก่ ราวกับว่ากำลังเล่าเรื่องราวที่ถูกลืมเลือน",Thai
"في قلب الصحراء كانت هناك واحة صغيرة تحمل أسرارًا عميقة لا يعرفها سوى الرمال والريح",Arabic
